id,created_at,text
721033956699844608,2016-04-15 17:54:26,"The tsunami warning issued after Japanese #earthquake is lifted
https://t.co/eTxTXo11qn"
721018161622097921,2016-04-15 16:51:40,Tsunami warning issued after powerful 7.4 magnitude earthquake strikes near southern Japanese city of Kumamoto https://t.co/H4ght2903D
721016697902272512,2016-04-15 16:45:51,"Powerful earthquake hits southern Japanese city of Kumamoto, day after a tremor there killed at least nine people https://t.co/lB09lFI610"
720933533292879873,2016-04-15 11:15:23,"Germany will allow prosecution of comedian who mocked Turkey's leader, but up to courts to decide, Merkel says  https://t.co/TJe9PTIdpc"
720917218796638211,2016-04-15 10:10:33,"Five arrested in Birmingham and at Gatwick Airport on suspicion of terror activities, West Midlands Police say https://t.co/21mdS2eTJv"
720911705904128000,2016-04-15 09:48:39,Belgian transport minister resigns over accusations she ignored lapses in security at Brussels airport https://t.co/zjcRRqrS1Z
720910904334811136,2016-04-15 09:45:28,"RT @BBCSport: Manchester City will play Real Madrid in Champions League semi-final. 

https://t.co/So7CMcfOY4 https://t.co/egJoCmSz5V"
720865214137171968,2016-04-15 06:43:54,"Man charged with attempted murder of police woman with an axe, South Yorkshire Police say https://t.co/iufpo902vh"
720734697844817920,2016-04-14 22:05:17,"Two girls aged 13 and 14 charged with kidnapping three-year-old child in central Newcastle on Wednesday, police say https://t.co/A3IiZQIhgq"
720667532437250048,2016-04-14 17:38:23,"At least two people confirmed dead after earthquake near Kumamoto, Japan
https://t.co/C2COFnLs2N 熊本の地震 https://t.co/eQutaruPyZ"
720615275213819904,2016-04-14 14:10:44,Lloyds Banking Group warns UK leaving EU would cause 'economic uncertainty' in short term https://t.co/bGOOeE5OqX
720568340276776960,2016-04-14 11:04:14,"Emergency services at scene of Tenerife building collapse, casualties unknown"
720551741222207490,2016-04-14 09:58:16,"Royal Bank of Scotland axing around 600 jobs in retail division and shutting 32 branches, trade union Unite says https://t.co/z6yjQWyNsl"
720546592252628992,2016-04-14 09:37:49,Ex-entertainer Rolf Harris pleads not guilty at crown court to seven charges of indecent assault and a sex assault  https://t.co/hPCPruRid1
720542248690016256,2016-04-14 09:20:33,"""Britain stronger"" in EU says Labour leader, Jeremy Corbyn as he sets out #EURef position https://t.co/sFqsMgLGHC  https://t.co/zQIRUUZinf"
720532381690634241,2016-04-14 08:41:21,"Ukrainian parliament approves speaker Volodymyr Groysman as new prime minister, after days of political uncertainty https://t.co/BIUnOxvpb3"
720364807493455872,2016-04-13 21:35:28,"The Zika virus causes severe birth defects, including microcephaly, US CDC confirms
https://t.co/hp4KrEBZCZ"
720251916425564161,2016-04-13 14:06:53,"Vote Leave and Britain Stronger in Europe named as official EU referendum campaigns, Electoral Commission says https://t.co/huZ8t2ESk2"
720238327820120064,2016-04-13 13:12:53,Spanish police arrest man suspected of supplying arms to supermarket gunman Coulibaly in January 2015 Paris attacks https://t.co/G9WY3NvSxk
720184202826805248,2016-04-13 09:37:48,Exit polls suggest South Korean president may lose parliamentary majority  https://t.co/9cILVtSKPj
720132657112330240,2016-04-13 06:12:59,Tesco returns to profit after reporting first quarterly UK sales growth for three years  https://t.co/1fJSYTnC1m
720036202229993472,2016-04-12 23:49:42,"Man, 50, charged with murder of antique dealer Adrian Greenwood, found dead at his Oxford home on Thursday https://t.co/0HlnSZRTKc"
720006992153198592,2016-04-12 21:53:38,Culture Secretary John Whittingdale admits he had relationship with sex worker but did not know her real occupation  https://t.co/Q0doIu5Mad
719932985760485376,2016-04-12 16:59:34,"Brazil's President Rousseff denounces ""coup"" against her, suggesting her vice-president is one of the ""plotters"" https://t.co/gIyzIJdzCH"
719905386594189312,2016-04-12 15:09:54,"Reality television star and music producer David Gest dies in London hotel aged 62, statement from friend says https://t.co/HIaPuuiuIT"
719872863268954113,2016-04-12 13:00:39,"UK exit from EU could cause ""severe regional and global damage"", says International Monetary Fund https://t.co/POxqhbD8mx"
719814595666452480,2016-04-12 09:09:07,"One in five Boko Haram suicide attacks now being carried out by children, the UN children's agency says https://t.co/gpDveExqV6"
