id,created_at,text
720496462904352769,2016-04-14 06:18:37,Love u too bro https://t.co/Us1rrqTVVv
720496387733983233,2016-04-14 06:18:19,That was one of the best yet. Thank you to big bros @Usher and @Akon for coming out. Made Ush play all the hits. #PurposeTourAtlanta
720133104678137856,2016-04-13 06:14:46,RT @Ludacris: Reunited Rockin wit the Biebs Surprised ATL tonight. #showkillas @ Philips Arena https://t.co/4lhvoFMZr3
720133074697220096,2016-04-13 06:14:39,RT @Usher: So proud of you man @justinbieber 🙏🏾
720132914080587776,2016-04-13 06:14:00,@usher @Ludacris @AugustAlsina @2chainz all in the building tonight. Great show ATL
719975342329307136,2016-04-12 19:47:52,ATL night 1!! #PurposeTourAtlanta
719571536928071680,2016-04-11 17:03:18,Thanks #BBMAs and my beliebers https://t.co/O1av4uVuga
719296315205652480,2016-04-10 22:49:40,#PurposeTourDallas
719295554547638272,2016-04-10 22:46:38,"RT @Bkstg: New vid on Bkstg from @justinbieber: ""Ping pong champ"" https://t.co/UqIMS6UYVD https://t.co/xSh26mNauo"
719175594982768641,2016-04-10 14:49:58,Houston was a movie. Dallas up next
718901386755182592,2016-04-09 20:40:21,#PurposeTourHouston
718901319663128576,2016-04-09 20:40:05,"RT @whipclip: .@JustinBieber lyrics make for great dramatic dialogue. Soap opera writers everywhere should take note. @jkcorden
https://t.c…"
718901291229970434,2016-04-09 20:39:59,RT @Q100Atlanta: #nowplaying @JustinBieber #Company
718901148602617856,2016-04-09 20:39:25,RT @997now: Nothing like hearing @MaryDiaz997 play #Company by @justinbieber on this cold &amp; rainy Saturday! Turn it up: https://t.co/mfmXts…
718538115829223424,2016-04-08 20:36:51,"RT @Vevo: Kiss your #BoyProblems goodbye with @carlyraejepsen 💋 https://t.co/OIVhUTsArJ
https://t.co/XwmuwlZGak"
718088699548831745,2016-04-07 14:51:02,Something special in Tulsa today. #giveback
718088538852438016,2016-04-07 14:50:23,RT @bpi_music: 3 of the top 10 most streamed songs of 2016 so far were by @justinbieber! @officialcharts https://t.co/uSTZRJpgTY https://t.…
718088414126415873,2016-04-07 14:49:54,#Company remix @TheKnocks. They are coming with me to Canada on the #PurposeTour https://t.co/dzJt5karYg
717958122715779072,2016-04-07 06:12:10,Tonight was a great show. Thanks. #PurposeTourKansasCity
717958056387063808,2016-04-07 06:11:54,"RT @JKCorden: I tell ya, @justinbieber knows how to write x https://t.co/wPMDM44k4G"
717943330206666753,2016-04-07 05:13:23,I tour in #mycalvins. Follow @calvinklein + RT their #PURPOSETOURxCK post to win tix https://t.co/hkWtECH70B
717845986467446785,2016-04-06 22:46:34,#PurposeTourKansasCity
717845863473631236,2016-04-06 22:46:05,Like I said I love Kansas City  https://t.co/6H74kdAwTZ
717845519217729536,2016-04-06 22:44:43,Lol. Ray killed it https://t.co/B4pD9DqUv5
717592444355739648,2016-04-06 05:59:05,Request #company
717560681868824576,2016-04-06 03:52:52,🐼🐼🐼🐼
717558067429150722,2016-04-06 03:42:29,Life is good
717557936281616384,2016-04-06 03:41:58,New tune. @Drake and @kanyewest 🔥🔥😃 take u to the garage and do karate 🙏 https://t.co/ynKT3uf3aS
717557583909748736,2016-04-06 03:40:34,Congrats to my bro @BigSean this EP 🔥https://t.co/unHQG1oPoi
717557462530797568,2016-04-06 03:40:05,Love Kansas City
717156446874415104,2016-04-05 01:06:35,#PurposeTourDenver
716895384635748353,2016-04-04 07:49:13,Thank you https://t.co/Z736ZrsmKy
716875405584535553,2016-04-04 06:29:50,It's me
716870123424845824,2016-04-04 06:08:50,Great night at #iheart and #junos . Thanks to everyone who has supported me. Back on #PurposeTour tomorrow
716869173809270784,2016-04-04 06:05:04,@iHeartRadio @tacobell this made me smile. #mybeliebers
716868345325170688,2016-04-04 06:01:46,RT @iHeartRadio: Congrats!!!!  @justinbieber WINNER!  Male Artist of the Year!  #iHeartAwards https://t.co/vUYquBZVww
716868334956875776,2016-04-04 06:01:44,"RT @iHeartRadio: Congratulations @justinbieber, @diplo and @Skrillex on #DanceSongoftheYear! #iHeartAwards https://t.co/49rh6gYSyY"
716868297979854848,2016-04-04 06:01:35,RT @iHeartRadio: Congratulations to the #Beliebers on taking home the @tacobell #BestFanArmy Award at the #iHeartAwards. https://t.co/Lpld8…
716868256712097793,2016-04-04 06:01:25,RT @TheJUNOAwards: And the winner is...#JUNOS https://t.co/KpjtRcRlxT
716795172852465664,2016-04-04 01:11:01,#BestFanArmy #Beliebers #iHeartAwards https://t.co/dlRiy7TmXn
716747095860850689,2016-04-03 21:59:58,Got the message. RT this.  #BestFanArmy #Beliebers and #iHeartAwards
716681956042256384,2016-04-03 17:41:08,See u soon https://t.co/5GRufywf0t
716681622100152320,2016-04-03 17:39:48,RT @sagekotsenburg: The @justinbieber concert was lit https://t.co/1PQn0Sr5Ws
716681473860894720,2016-04-03 17:39:13,"RT @NRJLebanon: #NRJMusicNews 

@justinbieber is currently the biggest artist on #iTunes and #Spotify #worldwide. https://t.co/BcFweXP4wO"
716680895969689600,2016-04-03 17:36:55,RT @iHeartRadio: We belieb in you! Keep voting through the #iHeartAwards show tonight #Beliebers #BestFanArmy https://t.co/8TEFWvsKGO
716680697226768386,2016-04-03 17:36:08,RT @Z100NewYork: #Beliebers show @justinbieber you’re the #BestFanArmy - Keep voting through the @iHeartRadio #iHeartAwards 🏆 https://t.co/…
716680561557766144,2016-04-03 17:35:35,RT @radiodisney: RT to vote for #Beliebers for #SoFantastic! #RDMA @radiodisney @justinbieber
716423505613443076,2016-04-03 00:34:08,@pattiemallette I love you :) #yourday
716420559756599296,2016-04-03 00:22:26,#PurposeTourSaltLakeCity
715938220039544832,2016-04-01 16:25:47,On the road #PurposeTour
715769564760514560,2016-04-01 05:15:37,@kanyewest 👏🏻👏🏻👏🏻 @fucktyler the goat
715461011487068160,2016-03-31 08:49:32,Blessed. Thank u
715460778216660992,2016-03-31 08:48:36,#PurposeTourGlendale another great show. Thank u
715460696675196928,2016-03-31 08:48:17,RT @JBLAZEOfficial: #PurposeTourGlendale https://t.co/zRDaURgROs
715460618455633920,2016-03-31 08:47:58,Met an amazing kid from make a wish today. Inspired
715085332086042624,2016-03-30 07:56:43,Haha. Just got this from @scooterbraun and @jmckinney. Got the bartender going in. Stay classy San Diego https://t.co/evElmPbfJc
715084863469039616,2016-03-30 07:54:51,Thank u #PurposeTourSanDiego
714670514002862083,2016-03-29 04:28:23,RT @DaquanArnett: I know I'm late but this @justinbieber album 🔥🔥
714669676165480450,2016-03-29 04:25:03,Yoooo TAYE WE GOT THREE IGUANAS AND SOME YELLOW CAKE WYA COME KICK IT @TayeDiggs BRING SOME JEANS ITS 2010 - JB
713882887485927425,2016-03-27 00:18:38,https://t.co/cj7HvWdMeS
713402097572524034,2016-03-25 16:28:09,The album https://t.co/ZWMJvhasht
713402047316385792,2016-03-25 16:27:57,Today is going to be a good day. #PurposeTourLasVegas
713401733054005248,2016-03-25 16:26:42,RT @BuzzFeed: Kanye West jamming out at Justin Bieber’s concert is everything https://t.co/aiuJBhlnrX https://t.co/0wNqfRehg6
713401721624535040,2016-03-25 16:26:39,RT @TheJUNOAwards: Retweet to vote for @justinbieber for #JUNOFanChoice Award presented by @TD_Canada! #JFCJustinBieber https://t.co/t1SUiX…
713260750572138496,2016-03-25 07:06:29,@Skrillex thanks bro u killed it
713239539188240384,2016-03-25 05:42:12,Let me see ur #Company art and lyric videos
713239382786834433,2016-03-25 05:41:34,"RT @Vevo: This is huge: @justinbieber just became the first artist to reach 10 BILLION views on @Vevo! #Bieber10BOnVevo
https://t.co/ybT6ls…"
713239207817261057,2016-03-25 05:40:53,RT @TheJUNOAwards: Retweet to vote for @justinbieber for #JUNOFanChoice Award presented by @TD_Canada! #JFCJustinBieber https://t.co/PpQCUu…
713239069933711360,2016-03-25 05:40:20,Let's help kids get clean #WaterNow @WorldVisionUSA https://t.co/LBSi5Q1ErG #WorldWaterDay
712902452035526656,2016-03-24 07:22:44,RT @STAPLESCenter: Thank You @justinbieber for three incredible sold out shows! LA ❤️ You #PurposeTourLosAngeles https://t.co/OUxuBILvpE
712173394049896448,2016-03-22 07:05:43,Shout out to one of my inspirations @kanyewest for coming to the show tonight. Had to go big. #PurposeTourLosAngeles night 2
711993849036451844,2016-03-21 19:12:16,@twitter happy bday https://t.co/lYRyLDEf6c
711993682535194624,2016-03-21 19:11:36,"RT @twitter: Thank you for sharing #Purpose with us, @justinbieber! You've made us all #Beliebers. #LoveTwitter
https://t.co/jW1Nu2sBmv"
711985007552651264,2016-03-21 18:37:08,#Company https://t.co/xICp1o7UwT
711984731680706560,2016-03-21 18:36:02,"Stream #Company on @Spotify 
https://t.co/mcMxnxQcu2"
711984107815706629,2016-03-21 18:33:33,RT @Bkstg: 1st of 4 tasks in order to win #BieberBkstgLA tickets is up. Next one at 10:30am. Good luck. https://t.co/f0UGelvnW1 https://t.c…
711814070433779712,2016-03-21 07:17:53,RT @STAPLESCenter: .@justinbieber serenading the sold out crowd with #LoveYourself #PurposeTourLosAngeles https://t.co/jBPTULzQWC
711813599669256192,2016-03-21 07:16:01,Thank you La and thank u @BigSean and @chancetherapper for joining me on stage tonight. #PurposeTourLosAngeles
711807968795185152,2016-03-21 06:53:39,RT @STAPLESCenter: Check out BIEBER LA Store tonight and open 9am-5pm tomorrow-Wednesday to all fans! @justinbieber @teamlastore https://t.…
711704478999642112,2016-03-21 00:02:25,La day 1 tonight #PurposeTourLosAngeles https://t.co/rkYHXb8reC
711692050433847296,2016-03-20 23:13:02,"3 #PurposeTourLosAngeles shows start tonight
https://t.co/47EzXsqk0L"
711309521868566528,2016-03-19 21:53:00,RT @1035KISSFM: Hey #Beliebers : I'm think it's time to play the new @justinbieber - #Company around 5pm. RT if you agree!!! - @ErikZ
711309440088039425,2016-03-19 21:52:40,Need that. Click that---  https://t.co/NBtt0HVjhJ
710997140835799041,2016-03-19 01:11:42,#purposetouroakland tonight
710997063081840641,2016-03-19 01:11:24,My bud @MartinGarrix is headlining #UltraMiami tonight. Kill it bro
710801833581793280,2016-03-18 12:15:37,#company https://t.co/NBtt0HDIqb
710668154561630208,2016-03-18 03:24:26,#purposetoursanjose
709938683332272128,2016-03-16 03:05:46,SacTown tonight #PURPOSETOUR
709377153582796806,2016-03-14 13:54:27,#COMPANY #PURPOSE https://t.co/ZWMJvhasht
709301907265687553,2016-03-14 08:55:27,#PurposeTourPortland was fun tonight
708941881007210497,2016-03-13 09:04:50,Purpose https://t.co/e6wd86aJbD
708941703982395393,2016-03-13 09:04:08,Thanks :) https://t.co/pTcK5XM1CN
708484221371715584,2016-03-12 02:46:16,Vancouver tonight
708483893691678721,2016-03-12 02:44:57,I love my merch
708325440625057792,2016-03-11 16:15:19,Vancouver tonight. #PURPOSETOUR
708171864435138561,2016-03-11 06:05:04,"RT @CalvinKlein: Music + fashion, together: Calvin Klein has partnered with @justinbieber on his 64-date #PurposeTour. #mycalvins https://t…"
708171771023724544,2016-03-11 06:04:42,RT @Wild949: Yes @DJPATRiXSF just dropped that Company - @justinbieber on the #CommercialFreeHitMix !!
708171731882496000,2016-03-11 06:04:32,"RT @923amp: #NowPlaying #company by @justinbieber for you #Beliebers. #NewMusic #923AMP https://t.co/erxcM3cweN
~ @ItsOmarTorres https://t.…"
707840081889861632,2016-03-10 08:06:41,Thank you Seattle #PurposeTour https://t.co/fjp7r5oRTy
707718582654738432,2016-03-10 00:03:53,"Just signed some merch, did last run through... Ready Seattle. #PurposeTour"
707602360047050752,2016-03-09 16:22:03,#PURPOSETOUR STARTS TODAY :) https://t.co/VPdxdOQ1xw
707599193519448064,2016-03-09 16:09:28,#company #company #company #company #company #company #company #company #company #company #company #company #company #company #company
707598600428134400,2016-03-09 16:07:07,Team dinner before the tour starts https://t.co/KaJNtDE50k
707408673266667520,2016-03-09 03:32:25,"#JFCJustinBieber 
https://t.co/qu81tohVcF"
707322822796845056,2016-03-08 21:51:17,Tomorrow #PURPOSETOUR https://t.co/icGbrnPbNB
707322658111619072,2016-03-08 21:50:37,RT @AP_Planner: Tomorrow: @justinbieber begins North American leg of his 'Purpose' world tour
707321833670848512,2016-03-08 21:47:21,See u tomorrow :) #children #PURPOSETOUR https://t.co/3N2eFL5f5X
706985783043891200,2016-03-07 23:32:00,#2days #PURPOSETOUR
706985690056118273,2016-03-07 23:31:38,Request #company
706985632006930432,2016-03-07 23:31:24,RT @JBLAZEOfficial: 2 more days! #PURPOSETOUR https://t.co/h3rS54vy5a https://t.co/1pODtDBGO9
706985532643876864,2016-03-07 23:31:00,"RT @Hits93Toronto: We're spinning that NEW Justin Bieber single ""Company"" NEXT. https://t.co/CdKPFnAsrs"
706985414582611969,2016-03-07 23:30:32,"RT @Vevo: KING! @justinbieber's ""Sorry"" video now has over 1 BILLION views on @vevo: https://t.co/g5xEN0yzwa #Sorry1BOnVevo https://t.co/X6…"
706985282931810304,2016-03-07 23:30:01,RT @scooterbraun: 3 days to go #PURPOSETOUR - but get that #Purposecare lol https://t.co/N8DPTcooM6
706985269371625472,2016-03-07 23:29:58,"RT @FlyGirl_Diva: Super charged this Monday morning. Got @justinbieber ""Company"" coming up in 2 mins on @Power965 l Text me at 96148 if u l…"
706985253529714689,2016-03-07 23:29:54,"RT @923amp: #newmusic from Justin Bieber - #Company playing at 11:26

FYI #Beliebers"
706985232797282304,2016-03-07 23:29:49,"RT @Vevo_AU: ""Can we keep each other #Company?"" -- @justinbieber  https://t.co/SfM71x3SAl https://t.co/YCe3jzNcrC"
706985217592918016,2016-03-07 23:29:45,RT @JBLAZEOfficial: 5 hour drive to Seattle. 3 more days !! #PURPOSETOUR
706985120658423808,2016-03-07 23:29:22,Loving see all these kids dancing to #children @NickDeMoura #PURPOSETOUR
706984463125708800,2016-03-07 23:26:45,RT @Bkstg: There's 24 more hours for a chance to #GetCloserToJustin during @justinbieber's first 4 #PurposeWorldTour dates... https://t.co/…
706984357798354944,2016-03-07 23:26:20,RT @iHeartRadio: Performing at the #iHeartAwards on April 3rd. The one and only @justinbieber. Make sure to watch on @TBSNetwork! https://t…
706510065868509184,2016-03-06 16:01:40,RT @Q102Philly: #Beliebers! For the first time @justinbieber COMPANY is the most requested song of the hour! #MostRequestedLive https://t.c…
706510039465357312,2016-03-06 16:01:34,RT @JRabonOfficial: Opening night is approaching!!! #PURPOSETOUR
706510016035983360,2016-03-06 16:01:28,RT @KiSS925: SO MANY requests for the new @justinbieber track #Company !!! That's coming up on #SetItOff with @mochafrap &amp; @DJclymaxxx #Rem…
706271746500874240,2016-03-06 00:14:40,Getting ready for #PurposeTour
706151765104685056,2016-03-05 16:17:55,#PURPOSE https://t.co/ZWMJvhasht
705847910420713472,2016-03-04 20:10:30,RT @Bkstg: Let #Bkstg get you a M&amp;G w @JustinBieber. Details here: https://t.co/1stW0Y3rle Android use: https://t.co/AJYK92QtYz https://t.c…
705831245888880640,2016-03-04 19:04:17,5 days until #PurposeWorldTour
705831197855776769,2016-03-04 19:04:05,"RT @billboard: Watch Morgan Freeman dramatically read Justin Bieber's ""Love Yourself"" https://t.co/Uje06OROR7 https://t.co/TVqIGk4oKt"
705830808968261632,2016-03-04 19:02:33,RT @bpi_music: ‘Love Yourself’ by @JustinBieber is now 2x Platinum in the UK. Congrats! #bpiAwards https://t.co/8BdjHTlfeb
705830731835002880,2016-03-04 19:02:14,RT @billboard: Justin Bieber strips down for the cover of Clash Magazine https://t.co/4qFFAmlGSd https://t.co/1fmBCCHKGt
705830696946798592,2016-03-04 19:02:06,RT @NickDeMoura: Want to dance on stage with @justinbieber here is your chance!!! https://t.co/hBiDlbzsr9
705830623617744896,2016-03-04 19:01:49,I will go to 15. Needs to be kids though :) https://t.co/H9R5T2eDDf
705830474623496192,2016-03-04 19:01:13,Old man https://t.co/QTe30Xxhcl
705830435738165248,2016-03-04 19:01:04,RT @923amp: The latest by @justinbieber #Company is coming up at 2:01! https://t.co/erxcM3cweN ~ @djnikonyc https://t.co/K5DEiT2QXK
705812787956621316,2016-03-04 17:50:56,#PurposeTourChildren let me see what u got https://t.co/XXOHDT28Ni
705548667701186560,2016-03-04 00:21:25,RT @Bkstg: Happy BDay @justinbieber-we're counting down to the #PURPOSETOUR w/ this exclusive hat #JB22 https://t.co/VB7PMnRQYX https://t.c…
