id,created_at,text
721089052728897536,2016-04-15 21:33:22,"When Dave Roberts looks back on his playing career, which moment does he cherish most? @EdwardJones #ChattingCage
https://t.co/pbPUx90EJq"
721087640079089664,2016-04-15 21:27:45,"RT @WhistleSports: BIGGEST Pool Dunk EVER at @Dbacks Stadium! 

Ft @LegendaryShots @ScooterMagruder #MLB https://t.co/3JVN95saEj https://t.…"
721084696830980096,2016-04-15 21:16:03,.@theCUTCH22 will be rocking some stellar #Jackie42 cleats. https://t.co/XjrKOKkxra
721082701986574336,2016-04-15 21:08:07,RT @MLBGIFs: The evolution of #BigSexy. https://t.co/pJFoDtW85C
721080162876526593,2016-04-15 20:58:02,RT @Cut4: PSA -- Don't mess with the Phillie Phanatic and his friends in the Galapagos Gang: https://t.co/AWQejiyLDA https://t.co/YAxRQBIqrh
721076403785969664,2016-04-15 20:43:06,A number etched in history. #Jackie42 https://t.co/UQMletoxa3
721074971561304065,2016-04-15 20:37:24,RT @Mariners: #Jackie42 public art—just appeared today outside Safeco Field. https://t.co/X4JhNjgvqG
721068572529795072,2016-04-15 20:11:59,"RT @Nationals: Thank you, Jackie. 

#JackieRobinsonDay #Jackie42 https://t.co/TIMP4grH3v"
721066169432576000,2016-04-15 20:02:26,RT @davidortiz: Thank u #42
721065710965764096,2016-04-15 20:00:36,Got @Dbacks questions? @SteveGilbertMLB has answers. Ask away in the MLB Fans app: https://t.co/Hnzvs0eohL https://t.co/8uskZgw0s1
721064106187497472,2016-04-15 19:54:14,RT @Mets: 42 #Jackie42 #JackieRobinsonDay https://t.co/0i1eGkZ53x
721059964983373824,2016-04-15 19:37:46,"RT @Pirates: ""Anytime I get to wear 42 on my back it means a heck of a lot to me.""
-@TheCUTCH22"
721053833892388864,2016-04-15 19:13:25,RT @MLBGIFs: That Russell hustle. https://t.co/NVsObDQACB https://t.co/RlgiZXVPMC
721052809857085440,2016-04-15 19:09:21,No fear. https://t.co/RNxzofNkuT #Jackie42
721048600961228805,2016-04-15 18:52:37,"RT @SalvadorPerez15: My mom's TV Debut 👀 #SigueSalvyconAtBat #AQUI 
https://t.co/IdJybISPUd"
721045087589765120,2016-04-15 18:38:39,RT @PlayBall: All smiles for the @Dodgers at today’s #PlayBall event. https://t.co/kCePSI5G7W
721038841256148994,2016-04-15 18:13:50,Nothing like a little early BP on a Friday. https://t.co/pRF8K2cRzn
721037508763598848,2016-04-15 18:08:32,"RT @Rockies: 5 is 42 today.

#Jackie42 https://t.co/pR5G6OmUAd"
721036752866160640,2016-04-15 18:05:32,RT @sharonarobinson: The day is finally here!!! Thanks to  @DodgersFdn for a great event at Commonwealth elementary #playball #jackie42 htt…
721035465684455424,2016-04-15 18:00:25,Ask @Dodgers skipper Dave Roberts a question LIVE today in the @EdwardJones #ChattingCage: https://t.co/Ieyc2NdBhG https://t.co/ApKu5udsqb
721034231678398465,2016-04-15 17:55:31,RT @Rockies: #Jackie42 https://t.co/lm602iQUnD
