id,created_at,text
721065469181042689,2016-04-15 19:59:39,RT @NBAOfficial: NBA response to NY Times article re: Jeremy Lin at https://t.co/IFG063Fa45
721062571936243713,2016-04-15 19:48:08,"RT @Raptors: Join us in congratulating @npowell2404, your Eastern Conference Rookie of the Month.

More: https://t.co/PvXN9wbkoi https://t.…"
721060241421504513,2016-04-15 19:38:52,RT @NBA_Coaches: EC Coach of the Month Frank Vogel led the @Pacers to a 6-1 record in April &amp; the 7 seed in the 2016 #NBAPlayoffs https://t…
721059418247454720,2016-04-15 19:35:36,"RT @Timberwolves: Congrats to @KarlTowns on being named Western Conference Rookie of the Month for April! 

🏆🏆🏆🏆🏆🏆 https://t.co/b54nMJgDUY"
721059402875281408,2016-04-15 19:35:32,RT @HoustonRockets: 34.8 ppg and 7.2 apg in April. James Harden is your Western Conference Player of the Month - https://t.co/tHt4xYHGWy ht…
721059220930617344,2016-04-15 19:34:49,RT @cavs: Another one! @KingJames just won his third consecutive @KIA Player of the Month award. MORE: https://t.co/ioo0VXsqgJ https://t.co…
721058353322074112,2016-04-15 19:31:22,The @Raptors' @npowell2404 &amp; @Timberwolves' @KarlTowns named @Kia NBA Rookies of the Month for April! #KiaROTM https://t.co/FF82gHVbgw
721058247000604673,2016-04-15 19:30:57,The @cavs' @KingJames &amp; @HoustonRockets' @JHarden13 named @Kia NBA Players of the Month for April! #KiaPOTM https://t.co/czkPsqoimb
721054598291714052,2016-04-15 19:16:27,"RT @NBAHistory: Before we chat with @BillWalton at 4:15 ET, look out for his New York Times Best Seller 'Back From The Dead' https://t.co/R…"
721044640141430784,2016-04-15 18:36:53,"Kobe teamed up w/ @AmericanExpress for an exclusive interview. #AmexNBA. See more here: https://t.co/3ZfAcX6XUm
https://t.co/Iin90eNS8J"
721036324548001792,2016-04-15 18:03:50,RT @NBATV: Commissioner Adam Silver's opening remarks from the @NBA Board of Governors Press Conference in NYC. https://t.co/pLv9IIdO6B
721034199751376897,2016-04-15 17:55:24,"RT @NBAcom: Live now on @NBATV &amp; @NBAcom -- Board of Governors news conference

WATCH LIVE HERE: https://t.co/qPGo0z9Txz https://t.co/STHOP…"
721032360083460096,2016-04-15 17:48:05,"Tune in for the NBA Board of Governors Press Conference LIVE on @NBATV, https://t.co/F2QmGNTfFl  &amp; the NBA app!"
721029934307618816,2016-04-15 17:38:27,"On Saturday's #InsideStuff (11am/et @NBATV), Sacramento says good-bye to Sleep Train Arena with a moving tribute
https://t.co/DeXzI81GIb"
721029096633999360,2016-04-15 17:35:07,"RT @celtics: ICYMI: Watch our ''66, '76 &amp; '86 Championship panel right now on https://t.co/qipTn2wCLK &amp; our mobile app! https://t.co/bfrNq6…"
721028907273732096,2016-04-15 17:34:22,"RT @celtics: Hear what Celtics Legend Bill Walton had to say as he reflected on his time with the team.
https://t.co/r0fc0GNmY1"
721024115151396865,2016-04-15 17:15:19,"Stay tuned for NBA Commissioner Adam Silver's Board of Governors Press Conference LIVE on @NBATV, https://t.co/Pqxh2EPubW  &amp; NBA app"
721013946103279616,2016-04-15 16:34:55,RT @nbacares: .@NBA Hall of Famer &amp; @NBACares Global Ambassador @officialmutombo is ready for your questions! #NBAFanDay https://t.co/XUlfk…
721012981522382849,2016-04-15 16:31:05,"We’re #GLSENproud to support @GLSEN and #LGBT youth on #DayofSilence. 
Learn more: https://t.co/8nRlevno1h"
721009602599522304,2016-04-15 16:17:39,RT @NBA_Spain: Tres horas para el chat con @JmCalderon3 ¿has hecho ya tu pregunta? No te lo puedes perder👌🏻 #NBAFanDay https://t.co/71Ov8QA…
721005330809925637,2016-04-15 16:00:41,The best regular season in @NBAHistory... the ultimate @warriors #NBAMixtape! https://t.co/4pkIX224G4
720998988749664257,2016-04-15 15:35:29,"RT @NBASTORE: Records are made to be broken: The new Golden standard.

Celebrate today https://t.co/e66SyuQKMZ https://t.co/VitIT85i6r"
720997714406858759,2016-04-15 15:30:25,"Backdoor cuts, flashy passes, ferocious slams, and a whole lot of 💦 threes... the 2015-16 @Warriors #NBAMixtape!
https://t.co/4pkIX224G4"
720990378652864512,2016-04-15 15:01:16,"73-9.. the new ""Golden"" Standard... peep the best of the season with the @Warriors #NBAMixtape!
https://t.co/4pkIX224G4"
720989513619804160,2016-04-15 14:57:50,RT @KennethFaried35: Wishing all those participating in @GLSEN's #DayofSilence a powerful experience. Silence unites! https://t.co/wW5DgQrk…
720986375097552896,2016-04-15 14:45:21,#CLIPPERSvBLAZERS tips off 10:30pm/et SUNDAY on TNT: https://t.co/4Q4VRbgZM4 #NBAPlayoffs
720982710605508608,2016-04-15 14:30:48,#SPURSvGRIZZLIES tips off 8pm/et SUNDAY on TNT: https://t.co/xM8ScydcCV #NBAPlayoffs
720978839439044608,2016-04-15 14:15:25,#HEATvHORNETS tips off at 5:30pm/et SUNDAY on TNT: https://t.co/ZODQXRiWzX #NBAPlayoffs
720975328445927424,2016-04-15 14:01:28,#CAVSvPISTONS tips off 3pm/et SUNDAY on ABC: https://t.co/vxwbaXALvH #NBAPlayoffs
720971270041571328,2016-04-15 13:45:20,#THUNDERvMAVS tips off 9:30pm/et SATURDAY on ESPN: https://t.co/kIw8dV3drp #NBAPlayoffs
720967597148266496,2016-04-15 13:30:44,#HAWKSvCELTICS tips off 7pm/et SATURDAY on ESPN: https://t.co/pCLFdD3ady #NBAPlayoffs
720963720369807361,2016-04-15 13:15:20,#WARRIORSvROCKETS tips off 3:30pm/et SATURDAY on ABC: https://t.co/PnyRLPfQSi #NBAPlayoffs
720960208353304576,2016-04-15 13:01:23,#RAPTORSvPACERS tips off 12:30pm/et SATURDAY on ESPN: https://t.co/dFeevJCUp6 #NBAPlayoffs
720945070204133376,2016-04-15 12:01:13,"The 2016 #NBAPlayoffs tip off TOMORROW! 
https://t.co/rPFh8oYmhh https://t.co/cltzZXVTNx"
720839149314420738,2016-04-15 05:00:20,"For Everything.. #ThankYouKobe
https://t.co/QLtcAOAVvh"
720831547226501120,2016-04-15 04:30:07,The ultimate trip through the #KobeBryantVault - 20 Years of All-Access with the Black Mamba! #ThankYouKobe  https://t.co/GzGr83TpZx
720828075714347008,2016-04-15 04:16:20,RT @WNBA: From the Bahamas up to Connecticut. @Jus242 has arrived. #WDraft16 #WatchMeWork https://t.co/Enb4QnBZwP
720827952556953601,2016-04-15 04:15:50,RT @WNBA: A new Star to join Kayla McBride in the San Antonio backcourt. #WDraft16 #WatchMeWork https://t.co/G678cY26de
720817680182214656,2016-04-15 03:35:01,"RT @NBAonTNT: Relive @KobeBryant's epic performance through the lens of social
https://t.co/UmV2eaeTtf"
720814095264448512,2016-04-15 03:20:47,"RT @nbastats: 2015-16 FINAL Leaderboards

Rondo dropped 15 dimes @NBA-high 19X's!

APG Season Leaders &gt;&gt; https://t.co/GQ2hIhmbu0 https://t.…"
720810330981421057,2016-04-15 03:05:49,"RT @nbastats: 2015-16 FINAL Leaderboards

Andre (14.8 RPG) pulled down nearly 15 RPG!

RPG Leaders &gt;&gt; https://t.co/wqpO9zJBfT https://t.co/…"
720808682393628673,2016-04-15 02:59:16,RT @WNBA: 🚨 Swag so serious. 🚨Courtney Walker headed to Atlanta. #WDraft16 https://t.co/8JE9O3aqVs
720807189376438274,2016-04-15 02:53:20,"RT @nbastats: 2015-16 Final Leaderboards 

7 players averaged 2+ SPG this season!

SPG Season Leaders &gt;&gt; https://t.co/gp5kmGZB3h https://t.…"
720802206216114176,2016-04-15 02:33:32,"RT @nbastats: 2015-16 FINAL Leaderboards

Whiteside paced @NBA w/ 3.7 BPG!

BPG Season Leaders &gt;&gt; https://t.co/s4u4hSVziK https://t.co/VEqI…"
720798329991356417,2016-04-15 02:18:08,"RT @nbastats: 2015-16 FINAL LEADERBOARDS

Steph (30.1 PPG) led the @NBA in scoring!

PPG Season Leaders &gt;&gt; https://t.co/Yro3YYlcnT https://…"
720793873715433472,2016-04-15 02:00:25,"Welcome to the 50-40-90 Club, @StephenCurry30! https://t.co/TwIuAqFNI7"
720787274984587264,2016-04-15 01:34:12,"RT @NBAcom: ""We feel like we can go all the way""

Rockets confident they can pull off upset vs. Warriors https://t.co/EH95e0SzMK https://t.…"
720778740754739200,2016-04-15 01:00:17,Kobe Bryant's overpowering finale a fitting end to his career (via @daldridgetnt): https://t.co/k8CBpLOLi8 https://t.co/AuerxY9lWi
720774760544665600,2016-04-15 00:44:28,RT @ESPNNBA: .@Iam1Cent is taking over our account for the premiere of @30for30's #ThisMagicMoment. https://t.co/D60jHiEgD4
720772519418966016,2016-04-15 00:35:34,"RT @30for30: ""We felt like the story needed to be told"" - @Iam1Cent &amp; @Shaq tell @GQMagazine what to expect in #ThisMagicMoment. https://t.…"
720761787264552960,2016-04-14 23:52:55,RT @NBATV: We take a look at the Eastern Conference as we preview the #NBAPlayoffs next on NBA TV. https://t.co/pmCgt5sHry
720760581167263746,2016-04-14 23:48:08,"RT @WNBA: The huskies go 1,2,3 in #WDraft16! https://t.co/OwhXJH21Uz"
720752390312308736,2016-04-14 23:15:35,The #WDraft16 is underway on ESPN2! https://t.co/hUfnZYhZXH
720750255260745730,2016-04-14 23:07:06,Nerlens Noel runs the floor for the #VerizonDUNK of the week! https://t.co/e4Hy26g0iZ
720748579439173632,2016-04-14 23:00:26,"Get ready for the #NBAPlayoffs with @NBATV's Conference Previews!

8pm/et: Eastern Conference Preview
9pm/et: Western Conference Preview"
720744212837306369,2016-04-14 22:43:05,RT @WNBA: The struggle was real last night.. As told by the Minnesota Mamba @RachelBanham15 at the #WDraft16 https://t.co/rJC9Gbwit1
720740507291398145,2016-04-14 22:28:22,"RT @NBAMEX: Jorge Gutiérrez, guardia de @hornets en chat este viernes a las 4PM en el #NBAFanDay. Manda tus preguntas. https://t.co/iKRoiX8…"
720738408369233920,2016-04-14 22:20:01,"The 20th @WNBA season tips off with the #WDraft16 7pm/et ESPN2! #WNBA20
https://t.co/zWmW97fOOW"
720734934395170816,2016-04-14 22:06:13,RT @NBABrasil: Amanhã às 19h @Huertas09 responde no Twitter às perguntas dos fãs. Mande a sua marcando a gente + #nbafanday! https://t.co/D…
720733941418725376,2016-04-14 22:02:16,"RT @WNBA: #WDraft16 tips-off at at 7pm/et on ESPN2! 

#WatchMeWork https://t.co/z9EJCfNtd4"
720733553105854465,2016-04-14 22:00:44,"RT @NBA2K: Morning after, @KobeBryant's game lives on https://t.co/bXPcfn4uHk Post vid w/ #LegendsLiveOn &amp; you could be in ours https://t.c…"
720731218195521536,2016-04-14 21:51:27,"RT @WNBA: Tune-in to @NBATV or https://t.co/UleNpBkXmW as @WNBAPrez, Lisa Borders addresses the media before #WDraft16."
720728701965500416,2016-04-14 21:41:27,RT @kobebryant: Last night was the final chapter to an incredible story. I walk away at peace knowing my love for the game &amp; this city will…
720725749506805760,2016-04-14 21:29:43,"RT @ZachLowe_NBA: Newser: NBA will make public new ""hustle"" stats + defensive numbers for  playoffs -- and update them game by game: https:…"
720721493525667840,2016-04-14 21:12:49,What a season for the @Warriors! #H73TORY https://t.co/HdZq3mWNr1
720720351047524352,2016-04-14 21:08:16,"RT @WNBA: Hall of famer @sswoopes22 on the forthcoming #WNBA20 season: ""To be able to sit up here and say... look at us now"". https://t.co/…"
720719212990345216,2016-04-14 21:03:45,"RT @NBAFRANCE: .@EvanFourmizz répondra à vos questions demain lors du Fan Appreciation Day!
Envoyez vos questions ici! #NBAFanDay https://t…"
