id,created_at,text
721059291289915398,2016-04-15 19:35:06,"You might have seen Steph Curry's historic 400th 3-pointer, but here are 12 things you totally missed during it: https://t.co/bm1itt5KMt"
721054633423171584,2016-04-15 19:16:35,"RT @ESPNFC: Still in the dark about Leicester City?
10 things you should know, via @ArashMarkazi: https://t.co/CPauQD7LUu https://t.co/OCY9…"
721040432445001729,2016-04-15 18:20:10,"At +43, the 8-1 Cubs have one of the best run differentials through 9 games in MLB history. More on their hot start: https://t.co/OQdtNBE7A1"
721038580970295296,2016-04-15 18:12:48,"RT @GoodmanESPN: UNLV’s Chris Beard has agreed to a 5-year deal to become the head coach at Texas Tech, multiple sources told ESPN."
721026574540103681,2016-04-15 17:25:06,"""A lot of people are eating their words this season.""

How a fired-up KD returned from injuries to rejoin the elite: https://t.co/ADm5YGH2Ie"
721019454352662529,2016-04-15 16:56:48,RT @ESPNNBA: NBA has approved a pilot program allowing teams to sell corporate logos on its jerseys. MORE: https://t.co/Sy0jw4bW2a
721012904892305408,2016-04-15 16:30:46,"Even Tom Brady is rooting for Leicester City. 

Watch his message to the @LCFC keeper: https://t.co/EsN9yTT7D6 https://t.co/hgS51znNNc"
720999699130527744,2016-04-15 15:38:18,"Zeke Elliott is on our campus today, and he's asking what people think about him. WATCH: https://t.co/8GbJcjkmyA https://t.co/pAvqbLAvaT"
720996368861372418,2016-04-15 15:25:04,"A title game for the ages. A finale for the ages. A record for the ages.

What a month of basketball this has been. https://t.co/wNykT6Yz4J"
720986298677198849,2016-04-15 14:45:03,"The season matchups are set. 

Our experts predict EVERY NFL team's record in 2016: https://t.co/Y9MhAxRxev https://t.co/2qOpHGFJup"
720976241642196997,2016-04-15 14:05:05,"MLB has two 0-9 teams for just the 2nd time since 1900.

Why one is ""one of the most depressing teams of all time."" https://t.co/fsztzYehB8"
720964929679810560,2016-04-15 13:20:08,A 4-year-old with cancer got a visit in his playhouse by a pair of @NovaMBB national champions. WATCH: https://t.co/HGuP6itHha
720956121318461441,2016-04-15 12:45:08,"ICYMI: The NFL schedule is out!

Check out your team's games, and the full primetime slate: https://t.co/HVI6qUvquA https://t.co/HXlADaI0cb"
720839102468206592,2016-04-15 05:00:09,"An MLB team that could match the Warriors' .890 win percentage?

Here's how it would look: https://t.co/JwsIy72s9u https://t.co/L78e2USz04"
720830280932524032,2016-04-15 04:25:06,"Cha-Ching!

The Staples Center sold a record $1.2M in Kobe merchandise ... in one day: https://t.co/7ltQ1zKI4n https://t.co/wyZdfEMF2Y"
720820217291493379,2016-04-15 03:45:06,Legend recognize legend. https://t.co/gFFKfbRmUw
720812705196687361,2016-04-15 03:15:15,"Trending up on the North Side!

After finishing a sweep of the Reds, the Cubs are 8-1 for the first time since 1969. https://t.co/bvBuvdzJ8t"
720805109618188290,2016-04-15 02:45:04,"The Warriors top Vegas' playoff rankings. 

How does the rest of the field shake out? https://t.co/FL1IRw6doX https://t.co/4Nf8tL8u6p"
720804547787141120,2016-04-15 02:42:50,RT @30for30: “Free Agency then was the Wild West. There was big money being thrown around.” And Shaq wanted it. #ThisMagicMoment https://t.…
720797004385927169,2016-04-15 02:12:52,"Braves and Twins teaming up for unwanted history.

For just the 2nd time since 1900, there are two 0-9 teams in MLB. https://t.co/7tjjt70MKy"
720792541767933957,2016-04-15 01:55:08,"The NFL schedule is here.

Get your team's games on your phone/calendar in one simple step: https://t.co/OoBjExWF7c https://t.co/XXpVXiIB2y"
720790676506599424,2016-04-15 01:47:43,"RT @ESPNNBA: How did @Iam1Cent react to seeing all those fans booing him during the draft in #ThisMagicMoment?

Lots of laughs. https://t.c…"
720783719598927873,2016-04-15 01:20:04,"Our experts predict EVERY game of the NFL season.

How will your team fare? https://t.co/Y9MhAxRxev https://t.co/TLqkldXFuS"
720782412230356993,2016-04-15 01:14:53,RT @ESPNNBA: .@Iam1Cent getting comfortable for #ThisMagicMoment. https://t.co/7DBaixVxT7
720778767682015232,2016-04-15 01:00:24,"Shaq. Penny. For #ThisMagicMoment in time, all things were possible.

@30for30 on ESPN/here: https://t.co/CpxgvWWXTZ https://t.co/yJ78xlJhXv"
720776868908154881,2016-04-15 00:52:51,"The @ESPNMondayNight schedule has arrived. Plan your Mondays accordingly.

Full schedule: https://t.co/HVI6qUdPD2 https://t.co/7C0BLV2JJg"
720770037183856640,2016-04-15 00:25:42,"The @NFL schedule has arrived!

Check out your team's slate, along with the primetime games: https://t.co/HVI6qUdPD2 https://t.co/Ezfmp2xRP9"
720764586782273537,2016-04-15 00:04:03,"Let's do it again!

Panthers-Broncos opener will be the first time since 1970 that Week 1 sees a Super Bowl rematch. https://t.co/Fn4eSgbhoz"
720763679088586752,2016-04-15 00:00:26,"The wait is over.

The NFL schedule release is live right now on ESPN/app/here: https://t.co/76nFM99z2x https://t.co/F4e6HChTrU"
720753244998393856,2016-04-14 23:18:59,"RT @espnW: Four-time champ. Three-time AP Player of the Year. And now a No. 1 pick.

Breanna Stewart goes to the Seattle Storm. https://t.c…"
720752281549807616,2016-04-14 23:15:09,"A title game for the ages. A record for the ages. A finale for the ages.

What a month of basketball this has been. https://t.co/L3Vzemt6xW"
720743153658130432,2016-04-14 22:38:53,RT @ESPNNFL: Rams are leaning towards making Cal QB Jared Goff the top overall pick. (via @AdamSchefter) https://t.co/lyVbrStkbc
720740946900418560,2016-04-14 22:30:07,"Here is how the Rams moved up to No. 1.

And here is how it affects the entire draft: https://t.co/fqal4L9SsW https://t.co/FZuO5KiMVH"
720730866813513728,2016-04-14 21:50:03,"Warriors clinch 73. Kobe’s epic farewell.

You couldn’t have asked for a better night in the NBA. Relive the magic: https://t.co/TMv7uK1Cvq"
720727955555643393,2016-04-14 21:38:29,RT @30for30: When you realize #ThisMagicMoment airs TONIGHT at 9 ET on ESPN! https://t.co/ZBtkhwvm3c
720719559980756992,2016-04-14 21:05:08,"There's hockey hair and there's Jaromir Jagr's hair. 

The magical mullet through the years: https://t.co/IjGNca7YAy https://t.co/t5X3vNmfpf"
720704439066034176,2016-04-14 20:05:02,"Kobe Bryant's 60-point walk-off was one for the ages. 

Other iconic farewell performances: https://t.co/VGEHcfWKrx https://t.co/jpwl1bD6z5"
720696891688681472,2016-04-14 19:35:03,"The 2016 NFL schedule will be unveiled tonight.

See all the big matchups, starting at 8 ET on ESPN/WatchESPN. https://t.co/KnmcvaHCPY"
720687572100464641,2016-04-14 18:58:01,BREAKING: Kings say George Karl will not return next year. Team seeking 9th coach since '07: https://t.co/vLSk9cDON6 https://t.co/GyvdjEikZl
720684320587788288,2016-04-14 18:45:06,"Cha-Ching!

The Staples Center sold a record $1.2M in Kobe merchandise ... in one day: https://t.co/7ltQ1zKI4n https://t.co/RQTus9PBL9"
720678484260044800,2016-04-14 18:21:54,RT @ESPNNFL: Respect. https://t.co/fdcSB0Bxam
720674243780808705,2016-04-14 18:05:03,"The Rams aren't the first team to send a bounty in a draft deal.

Five biggest draft trades: https://t.co/Z3udqgwcRd https://t.co/fYq3aDr1Xg"
720666707505774593,2016-04-14 17:35:07,Legend recognize legend. https://t.co/7fQ9yYtvDr
720659164112924672,2016-04-14 17:05:08,"Seventy-three wins. Records and highlights galore.

Warriors’ season rewind in less than 3 minutes. WATCH: https://t.co/MrnKpbgSe5"
720651592106582017,2016-04-14 16:35:03,"Kobe's NBA peers were in awe of his final performance.

The best reactions: https://t.co/LaoeNzS7RZ https://t.co/9rbR34gqXv"
720644068854751232,2016-04-14 16:05:09,"Dabo Swinney made Clemson a national power by NOT trying to be like Alabama.

His blueprint: https://t.co/aXX27qOqsh https://t.co/pTXgRdptPT"
720636499352379392,2016-04-14 15:35:04,"Shaq. Fish. KD. DWade. Dirk. Pop. KG. Melo. Steph. LeBron. Pau. Lamar. Phil. And Jack. 

Kobe's tribute video: https://t.co/prJ8enM2c9"
720628964474007553,2016-04-14 15:05:08,"""Now let's go get this championship.""

After win No. 73, Draymond Green addresses the fans at Oracle. WATCH: https://t.co/mAoLVng9gV"
720621413405560833,2016-04-14 14:35:08,"Kobe went out in classic Mamba style. 

Here’s his final shot against each NBA team: https://t.co/DlWgeSrWfw"
720619455550726145,2016-04-14 14:27:21,RT @ESPNNFL: ESPN Commentators for the 2016 NFL Draft https://t.co/SOQ7UJG191 https://t.co/mtt1C6w5k5
720609189408686080,2016-04-14 13:46:33,"With today's deal, the Titans now own nine draft picks, including six of the top 76 picks. https://t.co/Tv2TDdj6TX"
720607579072700416,2016-04-14 13:40:09,"It's time for the playoffs.

Matchups, schedules and TV times for the first round: https://t.co/mAXthyYiIh https://t.co/5M4CuyyBTT"
720606443922145285,2016-04-14 13:35:39,"The Rams' trade shakes up the top half of the first round. 

Here's the updated draft order: https://t.co/Qx554Vs7qy https://t.co/MbPoHmoaaQ"
720604361336991744,2016-04-14 13:27:22,The L.A. Rams are now on the clock after dealing a pair of 1st-rounders to the Titans for the No. 1 overall pick: https://t.co/XkacQSVYXG
720601284370272256,2016-04-14 13:15:08,"""What can I say ... Mamba out.""

ICYMI: Kobe's postgame speech to the fans at Staples Center: https://t.co/FCp9xku41J"
720594979123376128,2016-04-14 12:50:05,"Challenge accepted. Challenge met.

Just like the rest of us, @SHAQ was amazed by Kobe's 60-point finale. https://t.co/fAG9Hz12ok"
720588700392955904,2016-04-14 12:25:08,ICYMI: Wizards firing coach Randy Wittman after team misses playoffs: https://t.co/LwR6QktzBf https://t.co/DKBfk6n9Wq
720579885773627392,2016-04-14 11:50:07,"Move over, '95-96 Bulls.

@SherwoodStrauss on the Warriors' record-setting 73rd win: https://t.co/P2k0KFFaHN https://t.co/KqQqSgAOiK"
720567353835032579,2016-04-14 11:00:19,"No Hall of Famer ever reached 30 points in his finale.

Kobe Bean Bryant got twice that many. ICYMI: Watch &amp; marvel: https://t.co/4LZMr4KCwh"
720504006800470016,2016-04-14 06:48:36,"From childhood dreams to the hoops pantheon ... a basketball lifer has played his last game.

Farewell, Kobe. https://t.co/mL9yZZA3n5"
720501670967447552,2016-04-14 06:39:19,"Challenge accepted.

Challenge met. https://t.co/VCOTMWdBnr"
720499564285992961,2016-04-14 06:30:57,73-9? Sure. 402 3s? Yep. But Steph also did something only two others have done. More stats: https://t.co/5IP9eaCUIV https://t.co/7nTxCArf2B
720498036217143296,2016-04-14 06:24:52,"Kobe Bryant finished his career with six games of 60+ points.

Only Wilt Chamberlain has ever had more. https://t.co/V5wUdR7SAC"
720493283932258304,2016-04-14 06:05:59,The NBA playoffs matchups are set and so are the times and networks. Check it all out here: https://t.co/mAXthzfU6R https://t.co/ALLc6P5T52
720489120766771201,2016-04-14 05:49:27,"""The cool thing is my kids got to see me play like I used to play. They were like, 'Whoa, dad.'""

Kobe is #LIVEonSC: https://t.co/sdGCN1pBCR"
720487897799987200,2016-04-14 05:44:35,"""I tried to put on a show as much as I possibly could.""

And what a show it was. Highlights of Kobe's 60-point game: https://t.co/4LZMr52dUR"
720483860732121089,2016-04-14 05:28:32,"The playoff matchups in the West:
(1) Warriors vs (8) Rockets
(2) Spurs vs (7) Grizzlies
(3) Thunder vs (6) Mavs
(4) Clippers vs (5) Blazers"
720482704211472385,2016-04-14 05:23:57,NBA players were yelling at the TV just like you. Here's how they reacted to Kobe's classic: https://t.co/LaoeNA9Jgz https://t.co/xRJy9FmCyV
720481546323537921,2016-04-14 05:19:21,"Move over, Bulls. https://t.co/xPkpFjEQWo"
720480390104891392,2016-04-14 05:14:45,"One final game. One final legendary performance. One final standing O for Kobe Bryant.

WATCH: https://t.co/mbRJSfMUn8"
720479909668384768,2016-04-14 05:12:50,"""What can I say ... Mamba out."" https://t.co/4Zstj3HZ42"
720478747611308036,2016-04-14 05:08:13,"No Hall of Famer has ever reached 30 points in his finale.

Kobe Bean Bryant got twice that many. https://t.co/c9GK6pQGLn"
720477431921053697,2016-04-14 05:03:00,"Are you kidding, Kobe?!?

The legend goes out in style, scoring 60 points in a Lakers win. https://t.co/eg6FlQWRkw"
720476596218503170,2016-04-14 04:59:41,60. https://t.co/yYAsHqf6M0
720476061088276482,2016-04-14 04:57:33,"Shaq's face speaks for us all.

Kobe has 58 points in his finale! https://t.co/jT0nanjEvJ"
720475562498727936,2016-04-14 04:55:34,"HISTORY!

The Warriors beat the Grizzlies to finish 73-9, the best regular-season record in NBA history. https://t.co/TYRzMpZV3L"
720474709683527681,2016-04-14 04:52:11,"Five. Zero.

Kobe just reached 50 in his swan song and counting... https://t.co/CklfoKcfzu"
720474081246765056,2016-04-14 04:49:41,"Can he get to 50?

Watch the final minutes of Kobe Bryant's legendary career on ESPN2/here: https://t.co/Uy8UU6IMr8 https://t.co/P44CyqgeuC"
720470587559264257,2016-04-14 04:35:48,Loyalty. https://t.co/n931Rvz1tP
720469706939965441,2016-04-14 04:32:18,RT @Enrique_Rojas1: Kobe llega a 40 puntos!
720467510869508101,2016-04-14 04:23:34,"Steph and Kobe putting on a show!

No need to choose. Watch one on ESPN/ESPN2 and one here: https://t.co/Fgy8dBmkqG https://t.co/6qgPbq0N2c"
720465421158256645,2016-04-14 04:15:16,"No Hall of Famer has ever reached 30 points in his finale.

Kobe has reached 30 points in his finale. https://t.co/5r3FYzi5FV"
720462954026692608,2016-04-14 04:05:28,RT @tomhaberstroh: A reminder that Steph has made 8+ threes in more games this season (16) than anyone in their entire careers.
720461866099720192,2016-04-14 04:01:09,"Last season, Stephen Curry set the NBA record with 286 3s in one season.

He just hit his 400th. https://t.co/qFXHhgwC4E"
720461182411345920,2016-04-14 03:58:26,"""We don't hang divisions.""

The wit, wisdom and words of Kobe Bryant over the years: https://t.co/deTXnrDkGR https://t.co/fh6G6OcSdq"
720460093167415297,2016-04-14 03:54:06,"Curry was cooking with 25 points in the first half on ESPN, including this patented deep 3 from inside half court: https://t.co/4nwxFUinnG"
720458711454625793,2016-04-14 03:48:36,Kobe and D'Angelo Russell teamed up to provide a little Showtime in the first half. WATCH: https://t.co/AvtItkkavU
720457782365929472,2016-04-14 03:44:55,"Kobe's highest-scoring half this season is 23.

He had 22 in the first half of his finale. Watch the 2nd on ESPN2. https://t.co/Woadv0yIbp"
720453127091068928,2016-04-14 03:26:25,"Klay says Warriors might have a glass of wine if they reach win 73, ""but that's about it"": https://t.co/25V2FSuvzK https://t.co/nRymVBNcdl"
720451023458942976,2016-04-14 03:18:03,"The playoff matchups in the East are set:
(1) Cavs vs (8) Pistons
(2) Raptors vs (7) Pacers
(3) Heat vs (6) Hornets
(4) Hawks vs (5) Celtics"
720448000175271938,2016-04-14 03:06:03,"Vintage Kobe tonight, folks.

WATCH: https://t.co/jx7YfHPEFW"
720445601914052608,2016-04-14 02:56:31,"It all comes down to this.

The Warriors' quest for 73 starts now on ESPN/WatchESPN/here: https://t.co/ulGleEoVtd https://t.co/ccflpk3fPu"
720443600086167552,2016-04-14 02:48:34,"""He's the greatest to ever wear the purple and gold.""

And that's from a pretty great one. Magic's tribute to Kobe: https://t.co/Es4kz8R995"
720441767909310464,2016-04-14 02:41:17,"Steph. LeBron. Phil. Pau. Dirk. KD. Shaq. Jack. 

And Lamar Odom.

Watch the stirring tribute before Kobe's finale: https://t.co/prJ8eo3DAJ"
720438442237120512,2016-04-14 02:28:04,"One more before Mamba's out.

Watch Kobe Bryant's final NBA game on ESPN2/app/here: https://t.co/Uy8UU70niG https://t.co/Lgjc0P1eZa"
720436430623760385,2016-04-14 02:20:04,"¡Imperdible! Después de 1,345 juegos, Kobe dice adiós. 

Míralo en vivo por @ESPNDeportes: https://t.co/aiYRaB1ZRD https://t.co/iQjBgm3m4Q"
720435933548584960,2016-04-14 02:18:06,RT @ESPNNBA: The Heat led by 24 at halftime.  The Celtics lead by 8 with under 3 minutes to play.  WATCH LIVE: https://t.co/CAagdTSiO0
720434413213851648,2016-04-14 02:12:03,"Steph. Curry. Locked. In.

The Warriors' pursuit of 73 begins after Heat-Celtics on ESPN/WatchESPN.
https://t.co/ewfnorcCjy"
720426993053925378,2016-04-14 01:42:34,RT @darrenrovell: Kobe Bryant and the 1996 NBA Draft Class https://t.co/tkgbuHmFky
720423842477391872,2016-04-14 01:30:03,"With No. 24 retiring, we look back at 20 things that made Kobe, well, Kobe: https://t.co/VS5nvbtg2V #MambaMoments https://t.co/OVwtsHsBmj"
720418605427372041,2016-04-14 01:09:14,"Steph has arrived. Kobe has arrived.

History is on the way.
https://t.co/C3pq1hT3fC"
720416369942999040,2016-04-14 01:00:21,The scene in and around Staples is absolutely electric for Kobe's finale. Follow along here: https://t.co/0wPvVEkxF4 https://t.co/CWdkNmUyIN
720412616384884736,2016-04-14 00:45:27,A reminder that there is plenty to play for on the last day of the NBA's regular season: https://t.co/Iwz5x63o7N
720408404871790592,2016-04-14 00:28:42,RT @ESPNNBA: Kobe has arrived. #MambaDay (via @BaxterHolmes) https://t.co/K3ylxGzXPk
720407493461954562,2016-04-14 00:25:05,"In less than half a decade, the Splash Bros. have rewritten the record book from deep.

For historical perspective: https://t.co/95LATbdg9T"
720401399863902210,2016-04-14 00:00:52,"Another game with playoff implications starts now.

Heat-Celtics is live on ESPN/app/here: https://t.co/lt04LD1pPy https://t.co/VmxTMg2egC"
720398684081360897,2016-04-13 23:50:05,"A woman accidentally got Jeremy Lin's name tattooed on herself.

The Hornets guard responds:
https://t.co/E6GPefxB2r https://t.co/GMR1bDHIk2"
720396613957644289,2016-04-13 23:41:51,"RT @FiveThirtyEight: An ode to Kobe Bryant, in two charts: https://t.co/NgynQYL4ur https://t.co/Xu4J0VE17S"
720393649062686723,2016-04-13 23:30:04,"Hey Klay, how many hours until you and the @warriors go for win No. 73 on ESPN? https://t.co/W9UZuX9Saj"
720392189755453441,2016-04-13 23:24:16,RT @stanverrett: Fans signing farewell card for Kobe Bryant outside Staples Center. #MambaDay https://t.co/qvr9qhsU1R
720388417528401920,2016-04-13 23:09:17,"RT @AdamSchefter: Johnny Manziel’s 2nd agent this off-season, Drew Rosenhaus, informed Manziel either he gets treatment or he no longer wil…"
720388258597744640,2016-04-13 23:08:39,"RT @darrenrovell: Each courtside seat tonight gets a hat, SIX different Kobe shirts and &amp; Kobe ROBOJAM figure https://t.co/7zlLJGftEr"
720384842253365248,2016-04-13 22:55:05,RT @BaxterHolmes: #kobe https://t.co/FznnbpWl91
720384833348734976,2016-04-13 22:55:03,"Which team gets to play the Warriors in the 1st round?

What's at stake tonight in the NBA: https://t.co/I0784jSsoh https://t.co/3AIZXlNbTq"
